state_code,Wave,Go to work,Go to the gym,Go visit a friend,"Go to a cafe, bar, or restaurant",Go to a doctor or visit a hospital,Go to church or another place of worship,"Take mass transit (e.g. subway, bus, or train)",Avoiding contact with other people,Avoiding public or crowded places,Frequently washing hands,Wearing a face mask when outside of your home,Been in a room with someone outside of household in the past 24 hours,Been in a room with 5-10 people outside of household in the past 24 hours,Been in a room with 11-50 people outside of household in the past 24 hours,Been in a room with over 50 people outside of household in the past 24 hours
IL,25,4.860105535438219,3.4947452026266923,4.209524936942852,4.460458207285551,3.5031756669385348,2.923870516388521,3.006691837072752,3.786069896750115,4.563326428555547,4.7728374411550165,4.347995460745256,4.819385475080425,3.2778942363725023,2.639307981579234,2.3690989459266487
IN,25,5.1039907540325355,2.573138206125959,4.5526014341104375,4.586785159973858,4.112437264984629,2.8622637932394,2.262855120217399,4.063664985316495,4.339150374527463,5.131020225458978,3.9886531300660724,5.050239380718184,4.241989951249958,3.074339353993979,1.6625082002216784
KS,25,6.153299624762524,4.697378181970624,6.190454734889153,5.78050692264897,4.384422214317804,3.665392977591127,2.5880885537807057,3.6735076177290953,4.331045965463973,6.052478981055148,4.360059189025453,5.790684202870619,4.80355877809308,3.3649065781969507,3.4263977965848627
KY,25,5.256447097910409,3.164496465257403,5.013924183030312,4.707379111524858,4.03239179905744,3.6194004321824718,2.1036018922546593,4.439725457693608,4.590151288353315,5.2919464920016,4.4545099783265085,5.2053630425638655,3.5558651461295345,2.8629082985963845,2.442715814545788
LA,25,5.878533942089296,3.922716245562904,5.56755056085953,5.403740615319343,5.349869936635619,4.894360528669062,2.5800733748170392,5.407912325783828,5.640056067788815,5.8798346321773565,5.72241673717507,5.866301855520552,4.483114665933296,2.757609270167847,2.7440122341354196
MA,25,5.021068688422888,3.7783752098384924,4.4438826218109035,4.779373234754073,3.9832360873263855,2.771645936616355,3.347393868770631,4.071943468292997,4.5492141508909505,4.935379730099218,4.556255735123092,4.858297656810391,3.9779132200436367,2.609243724802356,2.3574315016434597
MD,25,5.164370618623893,3.141901540828748,3.9833869744896155,4.756823103469724,3.734696002971031,2.9356436925798124,2.783686047801374,4.603568869764474,4.967437248133008,5.143099011548982,5.032109313516661,5.274816181556681,3.3869965692019757,3.1185432467716194,1.589734236900267
ME,25,5.347505492408711,3.0836719121686844,4.628669767379645,4.2876487647400445,3.7403885036661215,2.186726480160678,1.2158899668647396,4.367703831075773,4.623561857582664,5.430687081720596,4.646587257416309,5.412480983133407,3.9154688887220033,2.285306004831773,2.2561666870581147
MI,25,4.774217159831234,2.8694433167604663,4.0558851012891095,4.036944370826517,3.5649655908479625,2.3705749348325855,1.259421281829165,4.013843171611184,4.5211375407928704,4.733911154868755,4.159497389235678,4.840587883749497,2.9758183053268956,2.8784424931694748,2.541979909797922
MN,25,5.370969324488233,2.8170751695773895,5.163192811138974,5.0885220042085395,4.338228852803803,3.164102651857951,2.898129858411331,4.107422820559796,4.72594986646258,5.406633946881332,4.1952047185546055,5.305693116798786,4.063385701745191,3.295497904692411,2.2741978170988695
MO,25,4.8633295464062565,2.5684919102104398,4.511374046289829,4.3935945995987105,3.230997717622755,3.3703732349271394,2.0344295534488372,3.9045020139342266,4.212922282189925,4.849660074022845,4.250428803140414,4.837627845989511,3.597683015188341,2.7738629999258726,2.325777455840419
MS,25,6.314289515044727,3.479695330763371,5.491398768638457,5.226984820061831,4.743286868893044,5.387115196056825,2.9309050990311687,5.989696394917893,6.426375928784493,6.309915241779389,6.166710646957042,6.487717185426534,4.82526695081825,3.5591537578059813,2.851332866798206
MT,25,5.608841818930187,3.1972647432843955,5.273013961922557,5.3553252918502325,4.608237114112479,3.425581118071463,2.0832528972331894,4.078587587310369,4.639831273938965,5.5769694855955745,3.3686299171042506,5.435554007616786,3.9856397307823137,3.7189294200601797,2.4228187521418723
NC,25,4.542940023470372,2.8671192001372723,4.3049665577087755,4.352820401651374,3.478589549997483,3.104934361739915,2.125615058253694,4.019409829456781,4.247828824407525,4.51283832308372,4.265612049957295,4.5343208853529875,3.510831185008609,2.2199689244853262,1.716610356066139
ND,25,6.011904811256457,3.817910266905202,5.587156100077976,5.778175744459717,3.9419212509005095,3.1552687733066147,1.3185067687304197,3.722396107168264,4.667396875895301,5.923107943598996,3.563625013388935,5.631510334743504,5.0862139854782376,3.8069684503007775,2.7042729459532504
NE,25,6.499844925967949,3.407334875803416,6.163740268893339,6.489400467022189,4.635953124673267,4.776377273430013,2.7530044027424747,5.21323631001824,5.805576086114294,6.509693868179277,5.599297849682176,6.733751406752949,3.955336932480231,4.870826843919904,2.8008712812893597
NH,25,6.235045416290488,4.653097257148315,5.965185006488409,5.754630573524031,5.384131304677744,3.8314265313969527,2.432181310878724,4.872326799213109,5.268147925007805,6.218170886143436,4.562432221347728,6.05591332079655,4.47408810220595,3.677934850900809,2.297819172720382
NJ,25,5.27176268643424,3.813395523246426,4.7571360876839215,4.614337464776547,4.398098270475632,3.411190011115655,3.2854376579882647,5.095380208265958,5.063152137835826,5.193409398109075,4.949702306965346,5.1114526080139076,3.2827353895630162,3.2546024979666086,1.8401331269643235
