Wave,End_Date,state,Avoiding contact with other people,Avoiding public or crowded places,Frequently washing hands,Wearing a face mask when outside of your home,Go to work,Go to the gym,Go visit a friend,"Go to a cafe, bar, or restaurant",Go to a doctor or visit a hospital,Go to church or another place of worship,"Take mass transit (e.g. subway, bus, or train)",Been in a room with someone outside of household in the past 24 hours,Been in a room with 5-10 people outside of household in the past 24 hours,Been in a room with 11-50 people outside of household in the past 24 hours,Been in a room with over 50 people outside of household in the past 24 hours,Total_N,new_ind
interpolation,2021-05-15,WV,28.107599167890765,42.67175726327695,69.80831201973605,70.54823986186196,31.834092958365094,6.07809523823273,24.978942280965935,17.57249877929978,15.36096205472561,10.616057825291076,3.445412255653589,58.18998459823967,16.959113536979963,6.229442024743133,2.432072672431034,,41
interpolation,2021-05-31,WV,27.59415687877759,40.358929365677504,69.05187050451318,65.49989070155851,32.06178657092828,6.377336188865757,25.722125734734064,19.189184459454353,16.21420107288772,9.249249130922008,3.409035150945994,58.11891217111763,17.588012563435523,6.058713478704122,2.8519547874848237,,42
gap17_18,2021-06-08,WV,28.238524845210712,39.322126879898825,68.63720718362282,62.546465835801314,32.184356148878706,6.466680444161275,25.853716047552666,20.021170704844664,16.48547288450544,8.040489537518402,3.315354754780204,57.3022324112698,17.652312776394517,5.742260043367543,3.0800858662133153,,43
interpolation,2021-06-15,WV,29.094680210822716,38.557708410292534,68.26691972590632,59.925678301434054,32.297467069854164,6.518911000475145,25.88136365428319,20.718519508748944,16.649083103146324,6.922352186336978,3.2066534867224763,56.35526281485771,17.609422635566442,5.408235907086611,3.2727240473388037,,44
interpolation,2021-06-30,WV,30.914944663183665,37.72858932413431,67.50807094705216,55.11753166791535,32.56335740386289,6.581959178390848,25.86932080350155,21.91372451251085,16.82003445859502,5.392210424022022,2.957459775076002,54.50259850435009,17.381145761000337,4.835291054952195,3.5848099747300615,,45
18,2021-07-15,WV,32.71216936640269,38.00388141448337,66.79665283797026,51.4143938881564,32.86132542700236,6.578481731062488,25.760823995878773,22.70029364944528,16.746213198091265,5.046718179008416,2.6863416711202683,52.89406111726033,16.967561514527745,4.458299673934773,3.759271219390567,343.0,46
interpolation,2021-07-31,WV,34.603814126337646,39.51483285207259,66.09008599318739,48.68234557077978,33.21451472681524,6.501446431420998,25.538780373096237,23.08889319562771,16.39767670352633,5.983940141174944,2.372983474488834,51.44737002439846,16.322155081700046,4.272159804569586,3.7936702300629865,,47
interpolation,2021-08-15,WV,36.353423347996674,42.07257470720332,65.47669126830142,47.2628927554576,33.57877664082491,6.360482691921567,25.230945388001764,23.03094820778534,15.817992036720836,8.08672356525079,2.0565549597606294,50.34336161237223,15.525602266620707,4.300138930527284,3.6837071304132687,,48
gap18_19,2021-08-25,WV,37.480600413546846,44.31169885905224,65.09597189301017,46.899073769697466,33.83261362062156,6.230451362884437,24.98610112534344,22.778346585496756,15.31437538968859,10.088351948387903,1.8374998060787842,49.75255983692033,14.904281536805977,4.429917726870869,3.5405338737861842,,49
interpolation,2021-08-31,WV,37.99956501617296,45.43170688606617,64.88838647514811,46.73535994712392,33.95239555287976,6.143449372875084,24.899156372369607,22.61486400834321,15.0685551511418,11.205438081328769,1.7249053333782203,49.50539746986473,14.564988890283699,4.562639953703727,3.463297759737329,,50
interpolation,2021-09-15,WV,38.60124014321615,46.95798721521198,64.45045475028618,46.291872306302565,34.09879873293985,5.902601036988677,24.97336623685381,22.255640060378383,14.766724458765344,13.326571839426778,1.532919696378671,49.304665758621255,13.912662632717515,5.089804538456669,3.3434207735845685,,51
19,2021-09-28,WV,38.31872988142808,46.80888646944438,64.16455069161134,45.86799278674302,34.04882180387101,5.666891262223185,25.374608804735153,22.0014924107153,14.866503081094798,14.38883794397359,1.4699549960256562,49.61276624737843,13.573692735148033,5.772428710106581,3.324129419950125,421.0,52
interpolation,2021-09-30,WV,38.209006156656386,46.664639346659214,64.128282767986,45.7995231163563,34.02655669787793,5.628405042726523,25.464107168364844,21.967105390869314,14.911636486375352,14.488303348590291,1.4687919804532086,49.69989719937142,13.540201173350633,5.896053434167889,3.328134214530921,,53
interpolation,2021-10-15,WV,36.82286305649365,44.55166328040787,63.921870528247524,45.2583123772851,33.735669447693994,5.320861390088618,26.37137916690271,21.749259999816,15.503291233971826,14.690632608819309,1.532522185601832,50.6910917921152,13.447604512183055,6.981386640837392,3.4174380825763864,,54
interpolation,2021-10-31,WV,34.24986382151901,40.29436187830627,63.82902673269379,44.62739771506955,33.18452043536699,4.956117942753875,27.797376633884234,21.594471891343133,16.625990592385403,13.849530185802088,1.7412422655004114,52.404113182167954,13.656974738894586,8.445987326849812,3.627884847614239,,55
gap19_20,2021-11-02,WV,33.874084233375434,39.66854205291191,63.8203861876688,44.55018919684046,33.101151465826646,4.909281237863269,27.988198329079207,21.572780754710575,16.782757506276077,13.68087120826904,1.7731047003910065,52.63877986503284,13.697580023170131,8.634652849801366,3.660347408226819,,56
interpolation,2021-11-15,WV,31.829274284643542,36.50821695210703,63.608698792206674,44.20896137051136,32.563049056138624,4.636915571990549,28.731114913774174,21.201132137088027,17.36447272451771,12.601105899741393,1.8900305854545856,53.53575987384956,13.82289220471832,9.43513748319921,3.8444585616396525,,57
interpolation,2021-11-30,WV,30.326586380540245,34.816311481888874,63.029469652950844,44.16120396939922,31.950337428427723,4.391727622572335,28.516950653497094,20.275508776269245,17.093870882693622,11.390800180074162,1.8307113475811678,53.21736018905789,13.668912363827761,9.441577026193357,3.998965758967519,,58
